International Designator,Launch Vehicle,Payload,Country,Launch date
1985-107,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(AUX MOTOR)|SL-12 R/B(2),RADUGA 17,CIS,1985-11-15
1985-108,SL-14 DEB|SL-14 R/B|SL-14 DEB,COSMOS 1703,CIS,1985-11-22
1985-109,MORELOS 2 R/B(PAM-D)|OPTUS A2 R/B(PAM-D)|SATCOM K2 R/B(PAM-D2),STS 61B|MORELOS 2|OPTUS A2 (AUSSAT 2)|SATCOM K2|STS 61B OEX TARGET,US,1985-11-27
1985-110,SL-8 R/B,COSMOS 1704,CIS,1985-11-28
1985-111,SL-4 R/B|SL-4 DEB|COSMOS 1705 DEB,COSMOS 1705,CIS,1985-12-03
1985-112,SL-4 R/B,COSMOS 1706,CIS,1985-12-11
1985-113,SL-14 R/B,COSMOS 1707,CIS,1985-12-12
1985-114,SCOUT G-1 R/B|USA 14 DEB,USA 13|USA 14,US,1985-12-13
1985-115,SL-4 R/B|SL-4 DEB|COSMOS 1708 DEB,COSMOS 1708,CIS,1985-12-13
1985-116,SL-8 R/B,COSMOS 1709,CIS,1985-12-19
1985-117,SL-6 R/B(1)|SL-6 PLAT|SL-6 DEB|SL-6 R/B(2)|SL-6 DEB,MOLNIYA 3-27,CIS,1985-12-24
1985-118,SL-12 DEB|SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 DEB|SL-12 R/B(AUX MOTOR)|SL-12 DEB,COSMOS 1710 [GLONASS]|COSMOS 1711 [GLONASS]|COSMOS 1712 [GLONASS],CIS,1985-12-24
1985-119,SL-14 R/B,METEOR 2-13,CIS,1985-12-26
1985-120,SL-4 R/B|COSMOS 1713 DEB,COSMOS 1713,CIS,1985-12-27
1985-121,SL-16 DEB|SL-16 R/B|SL-16 DEB,COSMOS 1714,CIS,1985-12-28
1986-001,SL-4 R/B|COSMOS 1715 DEB,COSMOS 1715,CIS,1986-01-08
1986-002,SL-8 R/B,COSMOS 1716|COSMOS 1717|COSMOS 1718|COSMOS 1719|COSMOS 1720|COSMOS 1721|COSMOS 1722|COSMOS 1723,CIS,1986-01-09
1986-003,SATCOM K1 R/B(PAM-D2),STS 61C|SATCOM K1,US,1986-01-12
1986-004,SL-4 R/B|SL-4 DEB,COSMOS 1724,CIS,1986-01-15
1986-005,SL-8 R/B,COSMOS 1725,CIS,1986-01-16
1986-006,SL-14 R/B,COSMOS 1726,CIS,1986-01-17
1986-007,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(AUX MOTOR)|SL-12 R/B(2),RADUGA 18,CIS,1986-01-17
1986-008,SL-8 R/B,COSMOS 1727,CIS,1986-01-23
1986-009,SL-4 R/B|SL-4 DEB|COSMOS 1728 DEB,COSMOS 1728,CIS,1986-01-28
1986-010,CZ-3 R/B|CZ-3 DEB,STTW-1,PRC,1986-02-01
1986-011,SL-6 PLAT|SL-6 R/B(1)|SL-6 DEB|SL-6 R/B(2),COSMOS 1729,CIS,1986-02-01
1986-012,SL-4 R/B|COSMOS 1730 DEB,COSMOS 1730,CIS,1986-02-04
1986-013,SL-4 R/B,COSMOS 1731,CIS,1986-02-07
1986-014,ATLAS H R/B|USA 15 DEB,USA 15|USA 16|USA 17|USA 18,US,1986-02-09
1986-015,SL-14 R/B,COSMOS 1732,CIS,1986-02-11
1986-016,N-2 R/B(1)|N-2 R/B(2)|N-2 DEB,YURI-2B (BS-2B),JPN,1986-02-12
1986-017,MIR DEB|SL-13 R/B|MIR DEB|GFZ 1 DEB|MIR DEB|MIR DEB (VDU)|MIR DEB,MIR|GFZ 1,CIS,1986-02-19
1986-018,SL-14 R/B,COSMOS 1733,CIS,1986-02-19
1986-019,ARIANE 1 DEB|ARIANE 1 R/B|ARIANE 1 DEB|VIKING DEB|ARIANE 1 DEB,SPOT 1|VIKING,FR,1986-02-22
1986-020,SL-4 R/B|COSMOS 1734 DEB,COSMOS 1734,CIS,1986-02-26
1986-021,SL-11 R/B,COSMOS 1735,CIS,1986-02-27
1986-022,SL-4 R/B|SOYUZ-T 15 ORBIT MODULE,SOYUZ-T 15,CIS,1986-03-13
1986-023,SL-4 R/B,PROGRESS 25,CIS,1986-03-19
1986-024,COSMOS 1736 DEB|COSMOS 1736 DEB [PELPS]|COSMOS 1736 DEB[ANTENNA|COSMOS 1736 DEB|COSMOS 1736 FUEL CORE|COSMOS 1736 DEB,COSMOS 1736,CIS,1986-03-21
1986-025,SL-11 R/B,COSMOS 1737,CIS,1986-03-25
1986-026,ARIANE 3 R/B|ARIANE 3 DEB [SYLDA]|ARIANE 3 DEB,GSTAR 2|BRASILSAT 2,US,1986-03-28
1986-027,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(AUX MOTOR)|SL-12 R/B(2),COSMOS 1738,CIS,1986-04-04
1986-028,SL-4 R/B,COSMOS 1739,CIS,1986-04-09
1986-029,SL-4 R/B|COSMOS 1740 DEB,COSMOS 1740,CIS,1986-04-15
1986-030,SL-8 R/B|SL-8 DEB,COSMOS 1741,CIS,1986-04-17
1986-031,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 3-28,CIS,1986-04-18
1986-032,SL-4 R/B,PROGRESS 26,CIS,1986-04-23
1986-033,SL-4 R/B|COSMOS 1742 DEB,COSMOS 1742,CIS,1986-05-14
1986-034,SL-14 R/B,COSMOS 1743,CIS,1986-05-15
1986-035,SL-4 R/B|SOYUZ-TM 1 ORBIT MODULE,SOYUZ-TM 1,CIS,1986-05-21
1986-036,SL-4 R/B|COSMOS 1744 DEB,COSMOS 1744,CIS,1986-05-21
1986-037,SL-8 R/B,COSMOS 1745,CIS,1986-05-23
1986-038,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),EKRAN 15,CIS,1986-05-24
1986-039,SL-14 R/B,METEOR 2-14,CIS,1986-05-27
1986-040,SL-4 R/B|COSMOS 1746 DEB,COSMOS 1746,CIS,1986-05-28
1986-041,SL-4 R/B|COSMOS 1747 DEB,COSMOS 1747,CIS,1986-05-29
1986-042,SL-8 R/B,COSMOS 1748|COSMOS 1749|COSMOS 1750|COSMOS 1751|COSMOS 1752|COSMOS 1753|COSMOS 1754|COSMOS 1755,CIS,1986-06-06
1986-043,SL-4 R/B,COSMOS 1756,CIS,1986-06-06
1986-044,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(AUX MOTOR)|SL-12 R/B(2),GORIZONT 12,CIS,1986-06-10
1986-045,SL-4 R/B|COSMOS 1757 DEB,COSMOS 1757,CIS,1986-06-11
1986-046,SL-14 R/B,COSMOS 1758,CIS,1986-06-12
1986-047,SL-8 R/B,COSMOS 1759,CIS,1986-06-18
1986-048,SL-4 R/B|COSMOS 1760 DEB,COSMOS 1760,CIS,1986-06-19
1986-049,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 3-29,CIS,1986-06-19
1986-050,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),COSMOS 1761,CIS,1986-07-05
1986-051,SL-4 R/B|COSMOS 1762 DEB,COSMOS 1762,CIS,1986-07-10
1986-052,SL-8 R/B|SL-8 DEB,COSMOS 1763,CIS,1986-07-16
1986-053,SL-4 R/B,COSMOS 1764,CIS,1986-07-17
1986-054,SL-4 R/B|COSMOS 1765 DEB,COSMOS 1765,CIS,1986-07-24
1986-055,SL-14 R/B,COSMOS 1766,CIS,1986-07-28
1986-056,SL-16 R/B|SL-16 DEB,COSMOS 1767,CIS,1986-07-30
1986-057,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 1-67,CIS,1986-07-30
1986-058,SL-4 R/B|COSMOS 1768 DEB,COSMOS 1768,CIS,1986-08-02
1986-059,SL-11 R/B|COSMOS 1769 DEB,COSMOS 1769,CIS,1986-08-04
1986-060,SL-4 R/B|COSMOS 1770 DEB,COSMOS 1770,CIS,1986-08-06
1986-061,H-1 R/B(MABES),AJISAI (EGS)|JAS-1 (FO-12),JPN,1986-08-12
1986-062,COSMOS 1771 DEB[ANTENNA|COSMOS 1771 FUEL CORE|COSMOS 1771 DEB [PELPS],COSMOS 1771,CIS,1986-08-20
1986-063,SL-4 R/B|COSMOS 1772 DEB,COSMOS 1772,CIS,1986-08-21
1986-064,SL-4 R/B,COSMOS 1773,CIS,1986-08-27
1986-065,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),COSMOS 1774,CIS,1986-08-28
1986-066,SL-4 R/B|COSMOS 1775 DEB,COSMOS 1775,CIS,1986-09-03
1986-067,COSMOS 1776 DEB|SL-8 R/B|COSMOS 1776 DEB,COSMOS 1776,CIS,1986-09-03
1986-068,SL-6 PLAT|SL-6 R/B(1)|SL-6 R/B(2),MOLNIYA 1-68,CIS,1986-09-05
1986-069,DELTA 1 R/B|USA 19 DEB|DELTA 1 DEB|USA 19 DEB,USA 19,US,1986-09-05
1986-070,SL-8 R/B,COSMOS 1777,CIS,1986-09-10
1986-071,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),COSMOS 1778 [GLONASS]|COSMOS 1779 [GLONASS]|COSMOS 1780 [GLONASS],CIS,1986-09-16
1986-072,SL-4 R/B|COSMOS 1781 DEB,COSMOS 1781,CIS,1986-09-17
1986-073,NOAA 10 DEB,NOAA 10,US,1986-09-17
1986-074,SL-14 R/B|COSMOS 1782 DEB,COSMOS 1782,CIS,1986-09-30
1986-075,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2)|SL-6 DEB,COSMOS 1783,CIS,1986-10-03
1986-076,CZ-2C R/B|CZ-2C DEB|FSW-0 8 DEB,FSW-0 8,PRC,1986-10-06
1986-077,SL-4 R/B,COSMOS 1784,CIS,1986-10-06
1986-078,SL-6 PLAT|SL-6 R/B(1)|SL-6 R/B(2),COSMOS 1785,CIS,1986-10-15
1986-079,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 3-30,CIS,1986-10-20
1986-080,SL-16 R/B,COSMOS 1786,CIS,1986-10-22
1986-081,SL-4 R/B|COSMOS 1787 DEB,COSMOS 1787,CIS,1986-10-22
1986-082,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(AUX MOTOR)|SL-12 R/B(2),RADUGA 19,CIS,1986-10-25
1986-083,SL-8 R/B,COSMOS 1788,CIS,1986-10-27
1986-084,SL-4 R/B|COSMOS 1789 DEB,COSMOS 1789,CIS,1986-10-31
1986-085,SL-4 R/B|COSMOS 1790 DEB,COSMOS 1790,CIS,1986-11-04
1986-086,SL-8 R/B|SL-8 DEB,COSMOS 1791,CIS,1986-11-13
1986-087,SL-4 R/B,COSMOS 1792,CIS,1986-11-13
1986-088,SCOUT G-1 R/B|SCOUT G-1 DEB,POLAR BEAR,US,1986-11-14
1986-089,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 1-69,CIS,1986-11-15
1986-090,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),GORIZONT 13,CIS,1986-11-18
1986-091,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),COSMOS 1793,CIS,1986-11-20
1986-092,SL-8 R/B,COSMOS 1794|COSMOS 1795|COSMOS 1796|COSMOS 1797|COSMOS 1798|COSMOS 1799|COSMOS 1800|COSMOS 1801,CIS,1986-11-21
1986-093,SL-8 R/B,COSMOS 1802,CIS,1986-11-24
1986-094,SL-14 R/B|COSMOS 1803 DEB,COSMOS 1803,CIS,1986-12-02
1986-095,SL-4 R/B|COSMOS 1804 DEB,COSMOS 1804,CIS,1986-12-04
1986-096,ATLAS CENTAUR R/B,FLTSATCOM 7 (USA 20),US,1986-12-05
1986-097,SL-14 R/B,COSMOS 1805,CIS,1986-12-10
1986-098,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),COSMOS 1806,CIS,1986-12-12
1986-099,SL-4 R/B,COSMOS 1807,CIS,1986-12-16
1986-100,SL-8 R/B|SL-8 DEB,COSMOS 1808,CIS,1986-12-17
1986-101,SL-14 R/B|SL-14 DEB,COSMOS 1809,CIS,1986-12-18
1986-102,SL-4 R/B|COSMOS 1810 DEB,COSMOS 1810,CIS,1986-12-26
1986-103,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2)|SL-6 DEB,MOLNIYA 1-70,CIS,1986-12-26
1987-001,SL-14 R/B|METEOR 2-15 DEB,METEOR 2-15,CIS,1987-01-05
1987-002,SL-4 R/B|SL-4 DEB,COSMOS 1811,CIS,1987-01-09
1987-003,SL-14 R/B,COSMOS 1812,CIS,1987-01-14
1987-004,COSMOS 1813 DEB|SL-4 R/B|COSMOS 1813 DEB,COSMOS 1813,CIS,1987-01-15
1987-005,SL-4 R/B,PROGRESS 27,CIS,1987-01-16
1987-006,SL-8 R/B|COSMOS 1814 DEB,COSMOS 1814,CIS,1987-01-21
1987-007,SL-8 R/B,COSMOS 1815,CIS,1987-01-22
1987-008,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 3-31,CIS,1987-01-22
1987-009,SL-8 R/B,COSMOS 1816,CIS,1987-01-29
1987-010,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2),COSMOS 1817,CIS,1987-01-30
1987-011,COSMOS 1818 COOLANT|SL-11 DEB|SL-11 R/B|COSMOS 1818 COOLANT,COSMOS 1818,CIS,1987-02-01
1987-012,M-3S2 R/B|ASTRO-C DEB,GINGA (ASTRO-C),JPN,1987-02-05
1987-013,SL-4 R/B|SOYUZ-TM 2 ORBIT MODULE,SOYUZ-TM 2,CIS,1987-02-05
1987-014,SL-4 R/B|SL-4 DEB|COSMOS 1819 DEB,COSMOS 1819,CIS,1987-02-07
1987-015,TITAN 34B R/B,USA 21,US,1987-02-12
1987-016,SL-16 R/B,COSMOS 1820,CIS,1987-02-14
1987-017,SL-8 R/B,COSMOS 1821,CIS,1987-02-18
1987-018,N-2 R/B,MOMO-1 (MOS-1),JPN,1987-02-19
1987-019,SL-4 R/B|COSMOS 1822 DEB,COSMOS 1822,CIS,1987-02-19
1987-020,COSMOS 1823 DEB|SL-14 R/B|COSMOS 1823 DEB,COSMOS 1823,CIS,1987-02-20
1987-021,SL-4 R/B,COSMOS 1824,CIS,1987-02-26
1987-022,DELTA 1 R/B(1)|DELTA 1 R/B(2)|DELTA 1 DEB|GOES 7 AKM,GOES 7,US,1987-02-26
1987-023,SL-4 R/B,PROGRESS 28,CIS,1987-03-03
1987-024,SL-14 R/B,COSMOS 1825,CIS,1987-03-03
1987-025,SL-4 R/B|SL-4 DEB|COSMOS 1826 DEB,COSMOS 1826,CIS,1987-03-11
1987-026,SL-14 R/B,COSMOS 1827|COSMOS 1828|COSMOS 1829|COSMOS 1830|COSMOS 1831|COSMOS 1832,CIS,1987-03-13
1987-027,SL-16 R/B|SL-16 DEB,COSMOS 1833,CIS,1987-03-18
1987-028,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),RADUGA 20,CIS,1987-03-19
1987-029,DELTA 1 R/B|PALAPA B2P R/B(PAM-D),AGILA 1 (PALAPA B2P),RP,1987-03-20
1987-030,SL-13 R/B|KVANT 1 SERVICE POD,KVANT 1,CIS,1987-03-31
1987-031,SL-11 R/B,COSMOS 1834,CIS,1987-04-08
1987-032,SL-4 R/B,COSMOS 1835,CIS,1987-04-09
1987-033,SL-4 R/B|COSMOS 1836 DEB,COSMOS 1836,CIS,1987-04-16
1987-034,SL-4 R/B,PROGRESS 29,CIS,1987-04-21
1987-035,SL-4 R/B|COSMOS 1837 DEB,COSMOS 1837,CIS,1987-04-22
1987-036,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(AUX MOTOR)|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR)|SL-12 DEB,COSMOS 1838 [GLONASS]|COSMOS 1839 [GLONASS]|COSMOS 1840 [GLONASS],CIS,1987-04-24
1987-037,SL-4 R/B|COSMOS 1841 DEB,COSMOS 1841,CIS,1987-04-24
1987-038,SL-14 R/B,COSMOS 1842,CIS,1987-04-27
1987-039,SL-4 R/B|COSMOS 1843 DEB,COSMOS 1843,CIS,1987-05-05
1987-040,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),GORIZONT 14,CIS,1987-05-11
1987-041,SL-16 R/B|SL-16 DEB|COSMOS 1844 DEB,COSMOS 1844,CIS,1987-05-13
1987-042,SL-4 R/B|COSMOS 1845 DEB,COSMOS 1845,CIS,1987-05-13
1987-043,ATLAS H R/B|USA 22 DEB,USA 22|USA 23|USA 24|USA 25,US,1987-05-15
1987-044,SL-4 R/B,PROGRESS 30,CIS,1987-05-19
1987-045,SL-4 R/B|SL-4 DEB|COSMOS 1846 DEB,COSMOS 1846,CIS,1987-05-21
1987-046,SL-4 R/B,COSMOS 1847,CIS,1987-05-26
1987-047,SL-4 R/B|SL-4 DEB|COSMOS 1848 DEB,COSMOS 1848,CIS,1987-05-28
1987-048,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),COSMOS 1849,CIS,1987-06-04
1987-049,SL-8 R/B|SL-8 DEB,COSMOS 1850,CIS,1987-06-09
1987-050,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),COSMOS 1851,CIS,1987-06-12
1987-051,SL-8 R/B,COSMOS 1852|COSMOS 1853|COSMOS 1854|COSMOS 1855|COSMOS 1856|COSMOS 1857|COSMOS 1858|COSMOS 1859,CIS,1987-06-16
1987-052,COSMOS 1860 DEB[ANTENNA|COSMOS 1860 DEB [PELPS]|COSMOS 1860 FUEL CORE,COSMOS 1860,CIS,1987-06-18
1987-053,DMSP 5D-2 F8 DEB,DMSP 5D-2 F8 (USA 26),US,1987-06-20
1987-054,SL-8 R/B|SL-8 DEB,COSMOS 1861,CIS,1987-06-23
1987-055,SL-14 R/B,COSMOS 1862,CIS,1987-07-01
1987-056,SL-4 R/B|SL-4 DEB|COSMOS 1863 DEB,COSMOS 1863,CIS,1987-07-04
1987-057,SL-8 R/B,COSMOS 1864,CIS,1987-07-06
1987-058,SL-4 R/B,COSMOS 1865,CIS,1987-07-08
1987-059,SL-4 R/B|SL-4 DEB|COSMOS 1866 DEB,COSMOS 1866,CIS,1987-07-09
1987-060,COSMOS 1867 COOLANT|SL-11 R/B|SL-11 DEB|COSMOS 1867 COOLANT,COSMOS 1867,CIS,1987-07-10
1987-061,SL-8 R/B,COSMOS 1868,CIS,1987-07-14
1987-062,SL-14 R/B|COSMOS 1869 DEB,COSMOS 1869,CIS,1987-07-16
1987-063,SL-4 R/B|SOYUZ-TM 3 ORBIT MODULE,SOYUZ-TM 3,CIS,1987-07-22
1987-064,SL-13 R/B|SL-13 DEB,COSMOS 1870,CIS,1987-07-25
1987-065,SL-16 R/B,COSMOS 1871,CIS,1987-08-01
1987-066,SL-4 R/B,PROGRESS 31,CIS,1987-08-03
1987-067,CZ-2C R/B,FSW-0 9,PRC,1987-08-05
1987-068,SL-14 DEB|SL-14 R/B|SL-14 DEB,METEOR 2-16,CIS,1987-08-18
1987-069,SL-4 R/B|COSMOS 1872 DEB,COSMOS 1872,CIS,1987-08-19
1987-070,H-1 R/B(1)|H-1 R/B(2),KIKU-5 (ETS-V),JPN,1987-08-27
1987-071,SL-16 R/B,COSMOS 1873,CIS,1987-08-28
1987-072,SL-4 R/B|COSMOS 1874 DEB,COSMOS 1874,CIS,1987-09-03
1987-073,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),EKRAN 16,CIS,1987-09-03
1987-074,SL-14 R/B,COSMOS 1875|COSMOS 1876|COSMOS 1877|COSMOS 1878|COSMOS 1879|COSMOS 1880,CIS,1987-09-07
1987-075,CZ-2C R/B|CZ-2C DEB,FSW-1 1,PRC,1987-09-09
1987-076,SL-4 R/B|COSMOS 1881 DEB,COSMOS 1881,CIS,1987-09-11
1987-077,SL-4 R/B|COSMOS 1882 DEB,COSMOS 1882,CIS,1987-09-15
1987-078,ARIANE 3 R/B|ARIANE 3 DEB [SYLDA]|ARIANE 3 DEB,OPTUS A3 (AUSSAT 3)|EUTELSAT 1-F4 (ECS-4),AUS,1987-09-16
1987-079,SL-12 DEB|SL-12 PLAT|SL-12 R/B(1)|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR)|SL-12 DEB,COSMOS 1883 [GLONASS]|COSMOS 1884 [GLONASS]|COSMOS 1885 [GLONASS],CIS,1987-09-16
1987-080,SCOUT G-1 R/B|SCOUT G-1 DEB,OSCAR 27|OSCAR 29,US,1987-09-16
1987-081,SL-4 R/B|COSMOS 1886 DEB,COSMOS 1886,CIS,1987-09-17
1987-082,SL-4 R/B,PROGRESS 32,CIS,1987-09-23
1987-083,SL-4 R/B|COSMOS 1887 DEB,COSMOS 1887,CIS,1987-09-29
1987-084,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),COSMOS 1888,CIS,1987-10-01
1987-085,SL-4 R/B|COSMOS 1889 DEB,COSMOS 1889,CIS,1987-10-09
1987-086,SL-11 R/B,COSMOS 1890,CIS,1987-10-10
1987-087,SL-8 R/B,COSMOS 1891,CIS,1987-10-14
1987-088,SL-14 R/B,COSMOS 1892,CIS,1987-10-20
1987-089,SL-4 R/B,COSMOS 1893,CIS,1987-10-22
1987-090,TITAN 34D R/B,USA 27,US,1987-10-26
1987-091,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),COSMOS 1894,CIS,1987-10-28
1987-092,SL-4 R/B|COSMOS 1895 DEB,COSMOS 1895,CIS,1987-11-11
1987-093,SL-4 R/B|SL-4 DEB,COSMOS 1896,CIS,1987-11-14
1987-094,SL-4 R/B,PROGRESS 33,CIS,1987-11-20
1987-095,N/A,TVSAT 1,GER,1987-11-21
1987-096,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),COSMOS 1897,CIS,1987-11-26
1987-097,TITAN 34D R/B,USA 28 (DSP 13),US,1987-11-29
1987-098,SL-8 R/B|SL-8 DEB,COSMOS 1898,CIS,1987-12-01
1987-099,SL-4 R/B|SL-4 DEB|COSMOS 1899 DEB,COSMOS 1899,CIS,1987-12-07
1987-100,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR)|SL-12 DEB,RADUGA 21,CIS,1987-12-10
1987-101,COSMOS 1900 DEB,COSMOS 1900,CIS,1987-12-12
1987-102,SL-4 R/B,COSMOS 1901,CIS,1987-12-14
1987-103,SL-8 R/B,COSMOS 1902,CIS,1987-12-15
1987-104,SL-4 R/B|SOYUZ-TM 4 ORBIT MODULE|SOYUZ-TM 4 DEB,SOYUZ-TM 4,CIS,1987-12-21
1987-105,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2)|SL-6 DEB,COSMOS 1903,CIS,1987-12-21
1987-106,SL-8 R/B,COSMOS 1904,CIS,1987-12-23
1987-107,SL-4 R/B|COSMOS 1905 DEB,COSMOS 1905,CIS,1987-12-25
1987-108,COSMOS 1906 DEB|SL-4 R/B|COSMOS 1906 DEB,COSMOS 1906,CIS,1987-12-26
1987-109,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),EKRAN 17,CIS,1987-12-27
1987-110,SL-4 R/B|SL-4 DEB|COSMOS 1907 DEB,COSMOS 1907,CIS,1987-12-29
1988-001,SL-14 R/B,COSMOS 1908,CIS,1988-01-06
1988-002,SL-14 R/B,COSMOS 1909|COSMOS 1910|COSMOS 1911|COSMOS 1912|COSMOS 1913|COSMOS 1914,CIS,1988-01-15
1988-003,SL-4 R/B,PROGRESS 34,CIS,1988-01-20
1988-004,SL-4 R/B|COSMOS 1915 DEB,COSMOS 1915,CIS,1988-01-26
1988-005,METEOR 2-17 DEB|SL-14 R/B|METEOR 2-17 DEB,METEOR 2-17,CIS,1988-01-30
1988-006,DMSP 5D-2 F9 DEB,DMSP 5D-2 F9 (USA 29),US,1988-02-03
1988-007,SL-4 R/B,COSMOS 1916,CIS,1988-02-03
1988-008,DELTA 1 R/B|DELTA 1 DEB,USA 30,US,1988-02-08
1988-009,SL-12 R/B|SL-12 DEB,COSMOS 1917-1919,CIS,1988-02-17
1988-010,SL-4 R/B|COSMOS 1920 DEB,COSMOS 1920,CIS,1988-02-18
1988-011,SL-4 R/B|SL-4 DEB|COSMOS 1921 DEB,COSMOS 1921,CIS,1988-02-19
1988-012,H-1 R/B(1)|H-1 R/B(2),SAKURA-3A (CS-3A),JPN,1988-02-19
1988-013,SL-6 R/B(1)|SL-6 R/B(2)|SL-6 PLAT|SL-6 DEB,COSMOS 1922,CIS,1988-02-26
1988-014,CZ-3 R/B,STTW-2,PRC,1988-03-07
1988-015,SL-4 R/B|SL-4 DEB|COSMOS 1923 DEB,COSMOS 1923,CIS,1988-03-10
1988-016,SL-8 R/B|SL-8 DEB,COSMOS 1924|COSMOS 1925|COSMOS 1926|COSMOS 1927|COSMOS 1928|COSMOS 1929|COSMOS 1930|COSMOS 1931,CIS,1988-03-11
1988-017,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2),MOLNIYA 1-71,CIS,1988-03-11
1988-018,ARIANE 3 R/B|ARIANE 3 DEB [SYLDA]|ARIANE 3 DEB,SPACENET 3R|TELECOM 1C,US,1988-03-11
1988-019,COSMOS 1932 DEB [PELPS]|COSMOS 1932 DEB[ANTENNA|COSMOS 1932 FUEL CORE|COSMOS 1932 DEB,COSMOS 1932,CIS,1988-03-14
1988-020,SL-14 R/B,COSMOS 1933,CIS,1988-03-15
1988-021,SL-3 R/B,IRS-1A,IND,1988-03-17
1988-022,SL-6 R/B(1)|SL-6 PLAT|SL-6 R/B(2)|SL-6 DEB,MOLNIYA 1-72,CIS,1988-03-17
1988-023,SL-8 R/B|COSMOS 1934 DEB,COSMOS 1934,CIS,1988-03-22
1988-024,SL-4 R/B|PROGRESS 35 DEB,PROGRESS 35,CIS,1988-03-23
1988-025,SL-4 R/B|COSMOS 1935 DEB,COSMOS 1935,CIS,1988-03-24
1988-026,SCOUT G-1 R/B,SAN MARCO 5,IT,1988-03-25
1988-027,SL-4 R/B|SL-4 DEB|COSMOS 1936 DEB,COSMOS 1936,CIS,1988-03-30
1988-028,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),GORIZONT 15,CIS,1988-03-31
1988-029,SL-8 R/B|SL-8 DEB,COSMOS 1937,CIS,1988-04-05
1988-030,SL-4 R/B|COSMOS 1938 DEB,COSMOS 1938,CIS,1988-04-11
1988-031,SL-4 R/B|FOTON 1 DEB,FOTON 1,CIS,1988-04-14
1988-032,SL-3 R/B|SL-3 DEB,COSMOS 1939,CIS,1988-04-20
1988-033,SCOUT G-1 R/B|SCOUT G-1 DEB|OSCAR 23 DEB,OSCAR 23|OSCAR 32,US,1988-04-26
1988-034,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),COSMOS 1940,CIS,1988-04-26
1988-035,SL-4 R/B|SL-4 DEB|COSMOS 1941 DEB,COSMOS 1941,CIS,1988-04-27
1988-036,SL-12 R/B(1)|SL-12 PLAT|SL-12 R/B(AUX MOTOR)|SL-12 R/B(2)|SL-12 R/B(AUX MOTOR),EKRAN 18,CIS,1988-05-06
1988-037,SL-4 R/B|COSMOS 1942 DEB,COSMOS 1942,CIS,1988-05-12
1988-038,SL-4 R/B,PROGRESS 36,CIS,1988-05-13
